series_id
GDP
GDPC1
UNRATE
PAYEMS
CPIAUCSL
PCEPI
UMCSENT
INDPRO
RSXFS
HOUST
PERMIT
DGORDER
ICSA
M2SL
DGS10
SP500
PI
EXHOSLUSM495S
USSLIND
VIXCLS
TB3MS
T10Y2Y
BAA
TEDRATE
DCOILWTICO
GOLDPMGBD228NLBM
BOPGSTB
CES0500000003
CIVPART
BUSINV
FEDFUNDS
MTSDS133FMS
CSUSHPINSA
MORTGAGE30US
PPIACO
TCU
CFNAI
SRVPRD
