date,TEDRATE
2000-01-01,0.7189473684210527
2000-02-01,0.5515
2000-03-01,0.5029166666666667
2000-04-01,0.6499999999999999
2000-05-01,0.959047619047619
2000-06-01,1.1043478260869566
2000-07-01,0.7823809523809524
2000-08-01,0.5990909090909091
2000-09-01,0.6775
2000-10-01,0.67
2000-11-01,0.585
2000-12-01,0.7684210526315789
2001-01-01,0.5581818181818181
2001-02-01,0.46449999999999997
2001-03-01,0.5395454545454546
2001-04-01,0.7510526315789473
2001-05-01,0.4852173913043478
2001-06-01,0.35
2001-07-01,0.23476190476190475
2001-08-01,0.20478260869565218
2001-09-01,0.3572222222222222
2001-10-01,0.2409090909090909
2001-11-01,0.23761904761904762
2001-12-01,0.23526315789473684
2002-01-01,0.1675
2002-02-01,0.17772727272727273
2002-03-01,0.19583333333333333
2002-04-01,0.25217391304347825
2002-05-01,0.1758333333333333
2002-06-01,0.17857142857142858
2002-07-01,0.16560000000000002
2002-08-01,0.15608695652173912
2002-09-01,0.176
2002-10-01,0.2056521739130435
2002-11-01,0.22684210526315793
2002-12-01,0.2145
2003-01-01,0.19714285714285712
2003-02-01,0.17842105263157895
2003-03-01,0.15523809523809526
2003-04-01,0.16999999999999998
2003-05-01,0.2185
2003-06-01,0.20434782608695654
2003-07-01,0.20909090909090908
2003-08-01,0.1885
2003-09-01,0.2061904761904762
2003-10-01,0.23681818181818182
2003-11-01,0.23944444444444446
2003-12-01,0.2723809523809524
2004-01-01,0.2455
2004-02-01,0.19842105263157894
2004-03-01,0.17500000000000002
2004-04-01,0.20750000000000002
2004-05-01,0.22949999999999998
2004-06-01,0.23333333333333334
2004-07-01,0.2966666666666667
2004-08-01,0.2534782608695652
2004-09-01,0.2531818181818182
2004-10-01,0.32227272727272727
2004-11-01,0.23363636363636361
2004-12-01,0.3135
2005-01-01,0.33
2005-02-01,0.27789473684210525
2005-03-01,0.28714285714285714
2005-04-01,0.3719047619047619
2005-05-01,0.4345
2005-06-01,0.4531818181818182
2005-07-01,0.40049999999999997
2005-08-01,0.35954545454545456
2005-09-01,0.49238095238095236
2005-10-01,0.46399999999999997
2005-11-01,0.4665
2005-12-01,0.6060000000000001
2006-01-01,0.369
2006-02-01,0.3215789473684211
2006-03-01,0.4082608695652174
2006-04-01,0.4677777777777778
2006-05-01,0.46904761904761905
2006-06-01,0.5936363636363636
2006-07-01,0.5505
2006-08-01,0.4613043478260869
2006-09-01,0.5780000000000001
2006-10-01,0.45571428571428574
2006-11-01,0.42952380952380953
2006-12-01,0.5147368421052632
2007-01-01,0.38476190476190475
2007-02-01,0.33263157894736844
2007-03-01,0.40863636363636363
2007-04-01,0.4921052631578947
2007-05-01,0.629047619047619
2007-06-01,0.7490476190476191
2007-07-01,0.5385714285714286
2007-08-01,1.2882608695652173
2007-09-01,1.6010000000000002
2007-10-01,1.240909090909091
2007-11-01,1.684782608695652
2007-12-01,1.9968421052631578
2008-01-01,1.1577272727272727
2008-02-01,0.966086956521739
2008-03-01,1.512
2008-04-01,1.5013636363636365
2008-05-01,0.9452380952380953
2008-06-01,0.909047619047619
2008-07-01,1.1673913043478261
2008-08-01,1.0825
2008-09-01,2.0023809523809524
2008-10-01,3.324782608695652
2008-11-01,2.0910526315789477
2008-12-01,1.7995652173913044
2009-01-01,1.08
2009-02-01,0.9468421052631578
2009-03-01,1.0536363636363637
2009-04-01,0.9494999999999999
2009-05-01,0.6405263157894737
2009-06-01,0.44217391304347825
2009-07-01,0.33
2009-08-01,0.25142857142857145
2009-09-01,0.17272727272727273
2009-10-01,0.20571428571428574
2009-11-01,0.2168421052631579
2009-12-01,0.20136363636363636
2010-01-01,0.18842105263157896
2010-02-01,0.14105263157894737
2010-03-01,0.11782608695652173
2010-04-01,0.15
2010-05-01,0.29947368421052634
2010-06-01,0.4145454545454545
2010-07-01,0.3509090909090909
2010-08-01,0.20666666666666667
2010-09-01,0.13857142857142857
2010-10-01,0.1555
2010-11-01,0.144
2010-12-01,0.161
2011-01-01,0.14789473684210527
2011-02-01,0.17789473684210524
2011-03-01,0.20869565217391303
2011-04-01,0.22111111111111112
2011-05-01,0.22000000000000003
2011-06-01,0.2127272727272727
2011-07-01,0.213
2011-08-01,0.2686363636363636
2011-09-01,0.33777777777777773
2011-10-01,0.388
2011-11-01,0.46090909090909093
2011-12-01,0.5452777777777779
2012-01-01,0.531
2012-02-01,0.41150000000000003
2012-03-01,0.3868181818181818
2012-04-01,0.3857894736842105
2012-05-01,0.38095238095238093
2012-06-01,0.3742105263157895
2012-07-01,0.3576190476190476
2012-08-01,0.32954545454545453
2012-09-01,0.2789473684210526
2012-10-01,0.22476190476190475
2012-11-01,0.2165
2012-12-01,0.24105263157894738
2013-01-01,0.22920000000000001
2013-02-01,0.19263157894736843
2013-03-01,0.193
2013-04-01,0.22
2013-05-01,0.22952380952380955
2013-06-01,0.22149999999999997
2013-07-01,0.23217391304347826
2013-08-01,0.21857142857142856
2013-09-01,0.23700000000000002
2013-10-01,0.19409090909090912
2013-11-01,0.17210526315789473
2013-12-01,0.17714285714285716
2014-01-01,0.19666666666666666
2014-02-01,0.1831578947368421
2014-03-01,0.18
2014-04-01,0.1985
2014-05-01,0.194
2014-06-01,0.19428571428571428
2014-07-01,0.20590909090909093
2014-08-01,0.20049999999999998
2014-09-01,0.2119047619047619
2014-10-01,0.21318181818181817
2014-11-01,0.20944444444444443
2014-12-01,0.21523809523809523
2015-01-01,0.22600000000000003
2015-02-01,0.24157894736842103
2015-03-01,0.24045454545454545
2015-04-01,0.2545
