date,Close,00XALCATM086NEST,00XALCBEM086NEST,00XALCCZM086NEST,Close_lag1,Close_lag2,Close_lag3,00XALCATM086NEST_lag1,00XALCATM086NEST_lag2,00XALCATM086NEST_lag3,00XALCBEM086NEST_lag1,00XALCBEM086NEST_lag2,00XALCBEM086NEST_lag3,00XALCCZM086NEST_lag1,00XALCCZM086NEST_lag2,00XALCCZM086NEST_lag3,target
2000-04-01,124.06,78.454,82.765,78.8,135.81,114.62,103.75,78.566,78.44800000000001,77.864,82.66499999999999,82.255,80.57,78.925,78.925,78.06,52.38
2000-05-01,84.0,78.382,83.015,79.025,124.06,135.81,114.62,78.454,78.566,78.44800000000001,82.765,82.66499999999999,82.255,78.8,78.925,78.925,50.81
2000-06-01,52.38,78.672,83.36,79.55000000000001,84.0,124.06,135.81,78.382,78.454,78.566,83.015,82.765,82.66499999999999,79.025,78.8,78.925,60.94
2000-07-01,50.81,78.44000000000001,82.44999999999999,80.175,52.38,84.0,124.06,78.672,78.382,78.454,83.36,83.015,82.765,79.55000000000001,79.025,78.8,25.75
2000-08-01,60.94,78.522,83.7,80.375,50.81,52.38,84.0,78.44000000000001,78.672,78.382,82.44999999999999,83.36,83.015,80.175,79.55000000000001,79.025,19.56
2000-09-01,25.75,80.89666666666666,84.42,80.075,60.94,50.81,52.38,78.522,78.44000000000001,78.672,83.7,82.44999999999999,83.36,80.375,80.175,79.55000000000001,16.5
2000-10-01,19.56,81.13333333333333,84.20500000000001,80.3,25.75,60.94,50.81,80.89666666666666,78.522,78.44000000000001,84.42,83.7,82.44999999999999,80.075,80.375,80.175,14.88
2000-11-01,16.5,81.51,84.4,80.4,19.56,25.75,60.94,81.13333333333333,80.89666666666666,78.522,84.20500000000001,84.42,83.7,80.3,80.075,80.375,21.62
2000-12-01,14.88,84.50999999999999,84.14,81.83333333333333,16.5,19.56,25.75,81.51,81.13333333333333,80.89666666666666,84.4,84.20500000000001,84.42,80.4,80.3,80.075,18.25
2001-01-01,21.62,84.535,82.77000000000001,85.85,14.88,16.5,19.56,84.50999999999999,81.51,81.13333333333333,84.14,84.4,84.20500000000001,81.83333333333333,80.4,80.3,22.07
2001-02-01,18.25,84.745,86.89333333333333,85.9,21.62,14.88,16.5,84.535,84.50999999999999,81.51,82.77000000000001,84.14,84.4,85.85,81.83333333333333,80.4,25.49
